"Timestamp","Płeć","Wiek","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Jestem w złym humorze.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Czuję się świetnie.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Jestem w złym nastroju.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Czuję się rozluźniony i spokojny.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Czuję się szaro i beznadziejnie.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Jestem w dobrym humorze.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Jestem pogodny.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Czuję się przygnębiony.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Moje samopoczucie jest złe.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Moje samopoczucie jest dobre.]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Radość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Niepokój]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Strach]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Miłość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Gniew]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Wesołość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Upokorzenie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Smutek]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Wzburzenie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Lęk]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Żal ]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Obawa]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Złość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Załamanie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Szczęście]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Wściekłość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Oddanie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Zadowolenie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Czułość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Wstyd]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Poczucie winy]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Przywiązanie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Depresja]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Nieszczęście]","Ile godzin średnio przesypiasz w ciągu doby?","Czy masz wyznaczone pory snu?","Jak oceniasz jakość swojego snu?","Ile godzin tygodniowo poświęcasz na sport?","Jaki środek transportu wybierasz najczęściej?","Jak oceniasz swoją kondycję fizyczną?","Ile godzin (średnio) w ciągu dnia korzystasz z urządzeń elektronicznych (komputer, laptop, tablet) pracując lub ucząc się?","Ile godzin dziennie poświęcasz na korzystanie z urządzeń w celach rozrywkowych?","Czy zdarza Ci się mieć poczucie, że za dużo czasu spędzasz korzystając z urządzeń elektronicznych?","Co przeważa w Twojej diecie?","Jaką wagę przywiązujesz do jakości swoich posiłków?","Jak oceniasz regularność swoich posiłków?","Czy masz kogoś, na kim możesz polegać w trudnej sytuacji?","Z iloma osobami utrzymujesz regularny kontakt w celach towarzyskich?","Jakie znaczenie mają dla Ciebie kontakty z innymi ludźmi?"
"2019/11/01 1:18:28 PM GMT+1","kobieta","20","nie zgadzam się","raczej się zgadzam","nie zgadzam się","trochę tak, trochę nie","nie zgadzam się","raczej się zgadzam","raczej się zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","raczej się zgadzam","bardzo często","czasami","czasami","często","rzadko","bardzo często","rzadko","czasami","czasami","czasami","czasami","czasami","czasami","czasami","bardzo często","rzadko","rzadko","bardzo często","często","czasami","rzadko","często","bardzo rzadko","bardzo rzadko","6-8","2","4","2,5 - 4","komunikacja miejska","4","mniej niż 3","2 - 3","często","mam zbilansowaną dietę","jestem tym, co jem!","jem nieregularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","5"
"2019/11/01 1:28:18 PM GMT+1","mężczyzna","22","nie zgadzam się","zgadzam się","nie zgadzam się","trochę tak, trochę nie","raczej się nie zgadzam","raczej się zgadzam","raczej się zgadzam","raczej się nie zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","często","bardzo często","często","bardzo rzadko","czasami","bardzo często","rzadko","często","często","czasami","bardzo rzadko","często","rzadko","często","często","czasami","czasami","często","rzadko","rzadko","często","czasami","czasami","czasami","więcej niż 10","1","2","nie uprawiam żadnego sportu","komunikacja miejska","2","5 - 8","3 - 4","często","mięso i ciężkostrawne potrawy","wszystko mi jedno","jem nieregularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","2 - 3","4"
"2019/11/01 1:31:26 PM GMT+1","kobieta","21","raczej się nie zgadzam","nie zgadzam się","raczej się nie zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","czasami","rzadko","rzadko","czasami","często","czasami","rzadko","czasami","czasami","rzadko","czasami","czasami","czasami","rzadko","czasami","rzadko","rzadko","czasami","rzadko","rzadko","rzadko","czasami","rzadko","rzadko","6-8","4","4","1 - 2,5","chodzę pieszo","4","5 - 8","2 - 3","rzadko","mam zbilansowaną dietę","jest to dla mnie dość ważne","staram się jeść regularnie","na ogół mam do kogo zwrócić się z problemem","4 - 5","4"
"2019/11/01 1:57:02 PM GMT+1","mężczyzna","22","nie zgadzam się","zgadzam się","nie zgadzam się","zgadzam się","nie zgadzam się","zgadzam się","zgadzam się","nie zgadzam się","raczej się nie zgadzam","zgadzam się","bardzo często","bardzo rzadko","nigdy","bardzo często","bardzo rzadko","bardzo często","nigdy","bardzo rzadko","rzadko","nigdy","bardzo rzadko","bardzo rzadko","bardzo rzadko","nigdy","bardzo często","nigdy","bardzo często","bardzo często","bardzo często","nigdy","nigdy","rzadko","nigdy","nigdy","6-8","4","4","1 - 2,5","samochód","3","mniej niż 3","mniej niż 1","rzadko","mam zbilansowaną dietę","nie jest to moim priorytetem","staram się jeść regularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","3"
"2019/11/01 2:00:02 PM GMT+1","mężczyzna","22","nie zgadzam się","trochę tak, trochę nie","nie zgadzam się","trochę tak, trochę nie","nie zgadzam się","zgadzam się","zgadzam się","nie zgadzam się","nie zgadzam się","zgadzam się","bardzo często","czasami","nigdy","bardzo często","bardzo rzadko","zawsze","nigdy","często","bardzo rzadko","nigdy","bardzo często","bardzo często","nigdy","bardzo rzadko","często","nigdy","zawsze","często","bardzo często","nigdy","zawsze","zawsze","czasami","czasami","6-8","4","2","2,5 - 4","samochód","3","nie używam/rzadko używam komputera do pracy/nauki","1 - 2","często","mam zbilansowaną dietę","nie jest to moim priorytetem","jem nieregularnie","nie czuję się komfortowo rozmawiając na trudne tematy z rodziną/znajomymi","2 - 3","4"
"2019/11/01 2:27:48 PM GMT+1","mężczyzna","21","raczej się nie zgadzam","raczej się zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","nie zgadzam się","zgadzam się","raczej się zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","raczej się zgadzam","często","czasami","czasami","często","czasami","bardzo często","bardzo rzadko","bardzo rzadko","rzadko","bardzo rzadko","bardzo rzadko","rzadko","rzadko","nigdy","bardzo często","bardzo rzadko","nigdy","bardzo często","często","bardzo rzadko","często","często","bardzo rzadko","bardzo rzadko","6-8","3","4","więcej niż 4","samochód","4","5 - 8","3 - 4","często","fast food","jest to dla mnie dość ważne","staram się jeść regularnie","na ogół mam do kogo zwrócić się z problemem","4 - 5","5"
"2019/11/01 2:27:52 PM GMT+1","mężczyzna","21","raczej się nie zgadzam","raczej się zgadzam","raczej się nie zgadzam","trochę tak, trochę nie","nie zgadzam się","raczej się zgadzam","raczej się zgadzam","nie zgadzam się","raczej się nie zgadzam","raczej się zgadzam","rzadko","często","nigdy","bardzo rzadko","często","czasami","nigdy","bardzo rzadko","zawsze","bardzo rzadko","nigdy","często","bardzo często","czasami","często","bardzo często","rzadko","czasami","często","rzadko","bardzo często","rzadko","nigdy","bardzo rzadko","4-6","1","2","2,5 - 4","samochód","2","powyżej 8","3 - 4","bardzo często","mam zbilansowaną dietę","jest to dla mnie dość ważne","zazwyczaj jem regularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","3"
"2019/11/01 2:29:44 PM GMT+1","kobieta","24","nie zgadzam się","nie zgadzam się","nie zgadzam się","zgadzam się","raczej się nie zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","nie zgadzam się","raczej się nie zgadzam","często","nigdy","nigdy","zawsze","rzadko","często","nigdy","bardzo rzadko","nigdy","nigdy","nigdy","nigdy","rzadko","nigdy","bardzo często","nigdy","często","zawsze","zawsze","nigdy","bardzo rzadko","zawsze","nigdy","nigdy","6-8","3","2","mniej niż 1","samochód","1","powyżej 8","więcej niż 4","bardzo często","żywność mocno przetworzona (mrożonki, gotowe dania)","staram się jeść zdrowo, ale mi nie wychodzi","różnie z tym bywa","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","5"
"2019/11/01 2:30:49 PM GMT+1","mężczyzna","24","nie zgadzam się","trochę tak, trochę nie","nie zgadzam się","raczej się zgadzam","trochę tak, trochę nie","raczej się zgadzam","raczej się zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","raczej się zgadzam","często","czasami","rzadko","bardzo często","bardzo rzadko","często","bardzo rzadko","czasami","bardzo rzadko","czasami","bardzo rzadko","czasami","rzadko","czasami","bardzo często","bardzo rzadko","bardzo często","bardzo często","bardzo często","bardzo rzadko","bardzo rzadko","bardzo często","czasami","bardzo rzadko","6-8","3","3","1 - 2,5","chodzę pieszo","3","5 - 8","1 - 2","często","mam zbilansowaną dietę","jest to dla mnie dość ważne","zazwyczaj jem regularnie","nie czuję się komfortowo rozmawiając na trudne tematy z rodziną/znajomymi","5 i więcej","4"
"2019/11/01 2:33:24 PM GMT+1","mężczyzna","23","nie zgadzam się","zgadzam się","nie zgadzam się","zgadzam się","nie zgadzam się","zgadzam się","zgadzam się","nie zgadzam się","nie zgadzam się","zgadzam się","często","czasami","rzadko","bardzo często","czasami","często","bardzo rzadko","rzadko","rzadko","rzadko","bardzo rzadko","rzadko","rzadko","bardzo rzadko","często","rzadko","bardzo często","bardzo często","bardzo często","rzadko","często","bardzo często","bardzo rzadko","bardzo rzadko","6-8","5","5","więcej niż 4","chodzę pieszo","4","powyżej 8","3 - 4","czasami","mięso i ciężkostrawne potrawy","jest to dla mnie dość ważne","staram się jeść regularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","5"
"2019/11/01 2:35:44 PM GMT+1","kobieta","21","nie zgadzam się","raczej się zgadzam","nie zgadzam się","trochę tak, trochę nie","nie zgadzam się","raczej się zgadzam","raczej się zgadzam","nie zgadzam się","nie zgadzam się","zgadzam się","czasami","często","rzadko","bardzo często","rzadko","często","nigdy","rzadko","bardzo rzadko","nigdy","nigdy","czasami","czasami","czasami","bardzo często","czasami","zawsze","bardzo często","bardzo często","nigdy","bardzo rzadko","zawsze","nigdy","bardzo rzadko","6-8","4","3","1 - 2,5","samochód","3","mniej niż 3","2 - 3","czasami","mam zbilansowaną dietę","jest to dla mnie dość ważne","staram się jeść regularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","4"
"2019/11/01 2:36:38 PM GMT+1","mężczyzna","22","raczej się nie zgadzam","raczej się zgadzam","raczej się nie zgadzam","zgadzam się","raczej się nie zgadzam","raczej się zgadzam","raczej się zgadzam","raczej się nie zgadzam","nie zgadzam się","zgadzam się","bardzo często","nigdy","bardzo rzadko","często","bardzo rzadko","zawsze","nigdy","bardzo rzadko","bardzo rzadko","nigdy","nigdy","rzadko","nigdy","nigdy","zawsze","nigdy","zawsze","bardzo często","zawsze","bardzo rzadko","często","zawsze","nigdy","nigdy","4-6","1","5","więcej niż 4","komunikacja miejska","3","nie używam/rzadko używam komputera do pracy/nauki","mniej niż 1","nigdy","żywność mocno przetworzona (mrożonki, gotowe dania)","staram się jeść zdrowo, ale mi nie wychodzi","staram się jeść regularnie","na ogół mam do kogo zwrócić się z problemem","4 - 5","5"
"2019/11/01 2:37:49 PM GMT+1","mężczyzna","21","raczej się nie zgadzam","raczej się nie zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","nie zgadzam się","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","bardzo często","bardzo rzadko","nigdy","czasami","czasami","bardzo często","nigdy","rzadko","bardzo rzadko","rzadko","nigdy","bardzo rzadko","czasami","bardzo rzadko","często","rzadko","bardzo rzadko","często","rzadko","nigdy","nigdy","bardzo rzadko","bardzo rzadko","nigdy","8-10","5","3","więcej niż 4","komunikacja miejska","5","mniej niż 3","więcej niż 4","często","mam zbilansowaną dietę","staram się jeść zdrowo, ale mi nie wychodzi","staram się jeść regularnie","na ogół mam do kogo zwrócić się z problemem","5 i więcej","5"
"2019/11/01 2:40:55 PM GMT+1","kobieta","20","raczej się nie zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","raczej się nie zgadzam","raczej się nie zgadzam","trochę tak, trochę nie","czasami","rzadko","rzadko","czasami","rzadko","czasami","rzadko","rzadko","rzadko","rzadko","rzadko","rzadko","rzadko","rzadko","rzadko","rzadko","rzadko","rzadko","czasami","rzadko","rzadko","czasami","bardzo rzadko","rzadko","8-10","2","3","mniej niż 1","samochód","4","5 - 8","mniej niż 1","rzadko","żywność mocno przetworzona (mrożonki, gotowe dania)","staram się jeść zdrowo, ale mi nie wychodzi","różnie z tym bywa","na ogół mam do kogo zwrócić się z problemem","2 - 3","4"
"2019/11/01 2:41:33 PM GMT+1","mężczyzna","27","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","raczej się zgadzam","nie zgadzam się","raczej się zgadzam","zgadzam się","raczej się zgadzam","nie zgadzam się","zgadzam się","zawsze","bardzo rzadko","nigdy","rzadko","rzadko","bardzo często","nigdy","nigdy","rzadko","nigdy","nigdy","nigdy","bardzo rzadko","nigdy","bardzo często","bardzo rzadko","rzadko","zawsze","często","nigdy","nigdy","bardzo często","nigdy","nigdy","6-8","2","4","więcej niż 4","samochód","5","5 - 8","2 - 3","czasami","mięso i ciężkostrawne potrawy","staram się jeść zdrowo, ale mi nie wychodzi","jem nieregularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","5"
